101,2016,173,200,11.14,149,11.64,114,52.05,52.95,46.02,20.96,157,9.37,15.3,15.09,190.9,9.59,6.841,6.745,190.9,9.59,12.86
101,2016,173,300,10.64,248,11.47,220,51.14,52.65,47.99,23.85,215,10.66,18.24,18.1,195.7,7.09,8.15,8.09,195.7,7.09,12.83
103,2016,173,300,10.64,248,12.41,1,51.14,54.34,47.99,24.33,8,10.88,17.28,16.97,198.6,10.79,7.72,7.59,198.6,10.8,12.83
101,2016,173,400,9.43,357,10.77,300,48.98,51.39,51.98,22.31,330,9.97,17.78,17.63,192.5,7.34,7.95,7.88,192.5,7.34,12.83
101,2016,173,500,8.74,452,9.71,413,47.73,49.47,57.04,21.79,432,9.74,19.42,19.32,196.5,5.749,8.68,8.64,196.5,5.749,12.8
101,2016,173,600,8.8,500,10.31,556,47.85,50.56,53.96,20.25,503,9.05,16.25,16.05,189,8.96,7.26,7.18,189,8.96,12.83
103,2016,173,600,8.74,452,10.77,300,47.73,51.39,53.96,22.31,330,9.97,17.82,17.64,192.9,7.98,7.96,7.89,192.9,7.98,12.83
101,2016,173,700,10.14,600,12.11,640,50.26,53.81,50.74,19.86,608,8.88,12.15,11.78,168.8,14.13,5.433,5.267,168.8,14.13,12.89
101,2016,173,800,10.8,705,13.97,759,51.45,57.15,45.88,16.09,722,7.19,8.69,8.31,163.4,16.83,3.883,3.715,163.4,16.83,12.99
101,2016,173,900,13.27,805,15.67,859,55.89,60.21,36.87,13.24,817,5.918,8.34,7.95,173.7,17.52,3.728,3.554,173.7,17.52,13.35
103,2016,173,900,10.14,600,15.67,859,50.26,60.21,36.87,19.86,608,8.88,9.73,9.33,168.6,16.43,4.348,4.169,168.6,16.43,13.35
101,2016,173,1000,15.17,911,17.03,1000,59.3,62.65,35.19,12.76,954,5.703,7.91,7.54,194.6,17.33,3.534,3.372,194.6,17.33,14.15
101,2016,173,1100,15.65,1038,18.33,1100,60.17,64.99,28.46,13.06,1054,5.84,5.461,4.277,231.4,37.71,2.441,1.912,231.4,37.71,14.08
101,2016,173,1200,15.72,1139,19.33,1107,60.29,66.8,27.66,14.12,1117,6.31,6.446,4.723,283,41.88,2.881,2.111,283,41.88,13.79
103,2016,173,1200,15.17,911,19.33,1107,59.3,66.8,27.66,14.12,1117,6.31,6.604,4.425,227.9,46.53,2.952,1.978,227.9,46.53,13.79
101,2016,173,1300,14.72,1258,18.03,1225,58.49,64.45,33.98,26.92,1247,12.03,10.64,9.97,307.7,20.43,4.757,4.455,307.7,20.43,13.71
101,2016,173,1400,13.48,1359,14.78,1300,56.27,58.61,34.02,30.47,1353,13.62,15.84,15.38,305.9,13.85,7.08,6.875,305.9,13.85,13.6
101,2016,173,1500,12.69,1432,13.93,1451,54.84,57.08,32.69,33.84,1404,15.13,15.24,14.16,318.9,21.6,6.814,6.329,318.9,21.6,13.57
103,2016,173,1500,12.69,1432,18.03,1225,54.84,64.45,32.69,33.84,1404,15.13,13.91,13.1,311,19.58,6.218,5.855,311,19.58,13.57
101,2016,173,1600,11.96,1551,13.3,1500,53.52,55.93,40.08,19.99,1514,8.94,10.85,9.12,58.45,32.33,4.851,4.078,58.45,32.33,13.57
101,2016,173,1700,9.96,1657,12.89,1600,49.92,55.21,55.88,27.09,1627,12.11,17.68,16.71,121.6,19.02,7.9,7.47,121.6,19.02,13.49
101,2016,173,1800,9.46,1711,11.3,1755,49.02,52.35,45.58,26.13,1753,11.68,11.23,8.9,76.5,36.9,5.019,3.978,76.5,36.9,13.37
103,2016,173,1800,9.46,1711,13.3,1500,49.02,55.93,45.58,27.09,1627,12.11,13.25,10.24,93.6,38.65,5.925,4.576,93.6,38.65,13.37
